Code,EngName,ArbName,Ledger Types,AllowAccountEntry,CatCode,CatEngName,CatArbName,Level,,Level = 1,Level = 2,Level = 3,Level = 4,Level = 5
100000000000,الاصول,الاصول,1,0,11,الموجودات,الموجودات,1,,,,,,
101000000000,الاصول المتداولة,الاصول المتداولة,1,0,111,الموجودات المتداولة,الموجودات المتداولة,2,,,,,,
101010000000,نقدية بالصندوق,نقدية بالصندوق,,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,3,,,,,,
101010010000,نقدية بالصندوق,نقدية بالصندوق,1,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,4,,,,,,
101010010010,الصندوق,الصندوق,1,1,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,5,,,,,,
101020000000,نقدية بالبنوك,نقدية بالبنوك,,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,3,,,,,,
101020010000,نقدية بالبنوك,نقدية بالبنوك,1,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,4,,,,,,
101020010010,بنك البلاد ,بنك البلاد ,1,1,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,5,,,,,,
101030000000,شبكة,شبكة,,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,3,,,,,,
101030010000,شبكة,شبكة,1,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,4,,,,,,
101040000000,اوراق قبض وشيكات تحت التحصيل,اوراق قبض وشيكات تحت التحصيل,,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,3,,,,,,
101040010000,اوراق قبض وشيكات تحت التحصيل,اوراق قبض وشيكات تحت التحصيل,1,0,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,4,,,,,,
101040010010,اوراق قيض,اوراق قيض,1,1,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,5,,,,,,
101040010020,شيكات تحت التحصيل,شيكات تحت التحصيل,1,1,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,5,,,,,,
101040010030,شيكات مرتدة,شيكات مرتدة,1,1,1111,نقدية في الصندوق ولدى البنوك,نقدية في الصندوق ولدى البنوك,5,,,,,,
101050000000,حسابات مدينة اخرى,حسابات مدينة اخرى,,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,3,,,,,,
101050010000,عهد عاملين,عهد عاملين,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050010020,حسابات مدينة تحت التسوية(عهدة),حسابات مدينة تحت التسوية(عهدة),1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050020000,سلف عاملين,سلف عاملين,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050020010,سلف عاملين,سلف عاملين,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050030000,مدينون متنوعون,مدينون متنوعون,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050040000,ايجارات مقدمة,ايجارات مقدمة,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050040010,ايجارات مقدمة,ايجارات مقدمة,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050050000,موردين دفعات مقدمة,موردين دفعات مقدمة,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050050010,موردين دفعات مقدمة,موردين دفعات مقدمة,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050060000,تامينات لدى الغير,تامينات لدى الغير,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050060010,تامينات لدى الغير,تامينات لدى الغير,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050070000,ايرادات مستحقة,ايرادات مستحقة,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050070010,رسوم تسجيل مستحقة,رسوم تسجيل مستحقة,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050070020,رسوم دراسية مستحقة,رسوم دراسية مستحقة,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050070030,رسوم اخري مستحقة,رسوم اخري مستحقة,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050080000,اعتمادات مستندية ,اعتمادات مستندية ,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050080010,اعتمادات مستندية ,اعتمادات مستندية ,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101050090000,ضريبة المدخلات,ضريبة المدخلات,1,0,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,4,,,,,,
101050090010,ضريبة المدخلات,ضريبة المدخلات,1,1,1115,مدفوعات مقدمة وأرصدة مدينة أخرى,مدفوعات مقدمة وأرصدة مدينة أخرى,5,,,,,,
101060000000,المخزون,المخزون,,0,1114,مخزون اخر المدة,مخزون اخر المدة,3,,,,,,
101060010000,المخازن الرئيسية,المخازن الرئيسية,1,0,1114,مخزون اخر المدة,مخزون اخر المدة,4,,,,,,
101060020000,المخازن الفرعية - داخلى,المخازن الفرعية - داخلى,1,0,1114,مخزون اخر المدة,مخزون اخر المدة,4,,,,,,
101070000000,العملاء,العملاء,,0,1112,مدينون تجاريون,مدينون تجاريون,3,,,,,,
101070010000,عملاء تعاقد مباشر,عملاء تعاقد مباشر,1,0,1112,مدينون تجاريون,مدينون تجاريون,4,,,,,,
101070020000,شركات التأمين ( التعاقدات الغير مباشره ),شركات التأمين ( التعاقدات الغير مباشره ),1,0,1112,مدينون تجاريون,مدينون تجاريون,4,,,,,,
101070030000,عملاء تعاقد نقدى ,عملاء تعاقد نقدى ,1,0,1112,مدينون تجاريون,مدينون تجاريون,4,,,,,,
101080000000,المؤسسات الشقيقة ,المؤسسات الشقيقة ,,0,1123,المستحق من جهات ذات علاقة,المستحق من جهات ذات علاقة,3,,,,,,
101080010000,المؤسسات الشقيقة ,المؤسسات الشقيقة ,1,0,1123,المستحق من جهات ذات علاقة,المستحق من جهات ذات علاقة,4,,,,,,
101090000000,اطراف ذات علاقة - خاصة,اطراف ذات علاقة - خاصة,,0,1123,المستحق من جهات ذات علاقة,المستحق من جهات ذات علاقة,3,,,,,,
102000000000,الاصول الثابتة,الاصول الثابتة,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,2,,,,,,
102010000000,الأصول الثابتة ,الأصول الثابتة ,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,3,,,,,,
102010010000,اراضى,اراضى,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010010010,اراضى,اراضى,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010020000,مبانى وانشاءات,مبانى وانشاءات,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010020010,مبانى وانشاءات,مبانى وانشاءات,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010030000,اثاث ومفروشات -  ,اثاث ومفروشات -  ,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010030010,اثاث ومفروشات -  ,اثاث ومفروشات -  ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010030020,تركيبات وديكورات,تركيبات وديكورات,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010040000,سيارات ووسائل نقل,سيارات ووسائل نقل,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010040010,سيارات,سيارات,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010050000,أجهزة الكترونية وكمبيوتر ,أجهزة الكترونية وكمبيوتر ,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010050010,اجهزة الكترونية وحاسب الى ,اجهزة الكترونية وحاسب الى ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010050020,برامج حاسب الى ,برامج حاسب الى ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010050030,شبكة السنترال والهواتف,شبكة السنترال والهواتف,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010050040,اجهزة حريق وكاميرات مراقبة,اجهزة حريق وكاميرات مراقبة,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010060000,اجهزة تعليمية واثاث ,اجهزة تعليمية واثاث ,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010060020,اثاث للتعليم,اثاث للتعليم,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010060030,عدد و الات ومعدات مخصصة للتعليم,عدد و الات ومعدات مخصصة للتعليم,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010070000,اجهزة كهربائية ,اجهزة كهربائية ,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010070010,اجهزة  كهربائية,اجهزة  كهربائية,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010070020,اجهزة التكييف ,اجهزة التكييف ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010080000,عدد وادوات ومعدات عامة,عدد وادوات ومعدات عامة,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102010080010,معدات نظافة ,معدات نظافة ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102010080020,ادوات ومعدات مكتبية,ادوات ومعدات مكتبية,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102020000000,الأصول الثابتة - سكن الموظفين,الأصول الثابتة - سكن الموظفين,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,3,,,,,,
102020010000,الأصول الثابتة - سكن الموظفين,الأصول الثابتة - سكن الموظفين,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
102020010010,أجهزة كهربائية - سكن موظفبن,أجهزة كهربائية - سكن موظفبن,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102020010020,أثاث ومفروشات - سكن موظفين,أثاث ومفروشات - سكن موظفين,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102020010030,اجهزة التكييف - سكن الموظفين,اجهزة التكييف - سكن الموظفين,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
102999999990,Fixed Assets Clearing Account,اصول ثابتة غير مشغلة,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
103000000000,اصول اخرى طويلة الاجل,اصول اخرى طويلة الاجل,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,2,,,,,,
103010000000,اصول اخرى طويلة الاجل,اصول اخرى طويلة الاجل,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,3,,,,,,
103010010000,اصول اخرى طويلة الاجل,اصول اخرى طويلة الاجل,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
103010010010,حملات ودعاية اعلانيه,حملات ودعاية اعلانيه,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
103010010020,مصروفات تأسيس,مصروفات تأسيس,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
103010010030,قروض شركات شقيقه / تابعة / جهات اخرى,قروض شركات شقيقه / تابعة / جهات اخرى,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
103010010040,مصروفات ايرادية مؤجلة,مصروفات ايرادية مؤجلة,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
104000000000,مشروعات تحت التنفيذ,مشروعات تحت التنفيذ,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,2,,,,,,
104010000000,مشروعات تحت التنفيذ,مشروعات تحت التنفيذ,,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,3,,,,,,
104010010000,مشروعات تحت التنفيذ,مشروعات تحت التنفيذ,1,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
104010010010,مشروعات تحت التنفيذ,مشروعات تحت التنفيذ,1,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
200000000000,الخصوم,الخصوم,2,0,12,المطلوبات وحقوق الملكية,المطلوبات وحقوق الملكية,1,,,,,,
201000000000,الخصوم طويلة الاجل,الخصوم طويلة الاجل,2,0,1221,قرض طويل الأجل,قرض طويل الأجل,2,,,,,,
201010000000,قروض طويلة الاجل,قروض طويلة الاجل,,0,1221,قرض طويل الأجل,قرض طويل الأجل,3,,,,,,
201010010000,قروض طويلة الاجل,قروض طويلة الاجل,2,0,1221,قرض طويل الأجل,قرض طويل الأجل,4,,,,,,
201010010010,قرض ,قرض ,2,1,1221,قرض طويل الأجل,قرض طويل الأجل,5,,,,,,
202000000000,الخصوم المتداولة,الخصوم المتداولة,2,0,121,المطلوبات المتداولة,المطلوبات المتداولة,2,,,,,,
202010000000,الموردين,الموردين,,0,1212,دائنون تجاريون,دائنون تجاريون,3,,,,,,
202010010000,الموردين داخليين,الموردين داخليين,2,0,1212,دائنون تجاريون,دائنون تجاريون,4,,,,,,
202010020000,الموردين خارجيين,الموردين خارجيين,2,0,1212,دائنون تجاريون,دائنون تجاريون,4,,,,,,
202010020020,موردو مستلزمات,موردو مستلزمات,2,1,1212,دائنون تجاريون,دائنون تجاريون,5,,,,,,
202010020030,موردو اكسسوارات ,موردو اكسسوارات ,2,1,1212,دائنون تجاريون,دائنون تجاريون,5,,,,,,
202020000000,ذمم دائنة اخرى,ذمم دائنة اخرى,,0,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,3,,,,,,
202020010000,تأمينات مرضى,تأمينات مرضى,2,0,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,4,,,,,,
202020010010,دفعات مقدمه ( عملاء),دفعات مقدمه ( عملاء),2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020010020,ايرادات مدفوعه مقدما ,ايرادات مدفوعه مقدما ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020000,مصروفات مستحقة,مصروفات مستحقة,2,0,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,4,,,,,,
202020020010,ايجارات مستحقة,ايجارات مستحقة,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020020,رواتب وأجور مستحقة,رواتب وأجور مستحقة,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020030,أتعاب مراجعة مستحقة,أتعاب مراجعة مستحقة,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020040,بدل اجازة مستحقة,بدل اجازة مستحقة,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020050,اجور اضافية مستحقة,اجور اضافية مستحقة,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020060,بدل تذاكر سفر مستحق ,بدل تذاكر سفر مستحق ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020070,مكافأت نهاية خدمة مستحقة ,مكافأت نهاية خدمة مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020080,كهرباء ومياة مستحقة ,كهرباء ومياة مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020090,برق وبريد وهاتف مستحقة ,برق وبريد وهاتف مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020100,مصروفات تعقيب وجوزات مستحقة ,مصروفات تعقيب وجوزات مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020110,تأمينات اجتماعية - مستحقة ,تأمينات اجتماعية - مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202020020120,مصاريف صيانة مستحقة ,مصاريف صيانة مستحقة ,2,1,1213,مصروفات مستحقة وأرصدة دائنة أخرى,مصروفات مستحقة وأرصدة دائنة أخرى,5,,,,,,
202030000000,المخصصات,المخصصات,,0,121,المطلوبات المتداولة,المطلوبات المتداولة,3,,,,,,
202030010000,مخصص اهلاك الأصول الثابتة ,مخصص اهلاك الأصول الثابتة ,2,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
202030010010,مخصص اهلاك اثاث ومفروشات,مخصص اهلاك اثاث ومفروشات,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010020,مخصص اهلاك السيارات,مخصص اهلاك السيارات,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010030,مخصص اهلاك اجهزة الكترونية وكمبيوتر,مخصص اهلاك اجهزة الكترونية وكمبيوتر,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010040,مخصص اهلاك اجهزة حريق وكاميرات مراقبة,مخصص اهلاك اجهزة حريق وكاميرات مراقبة,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010050,مخصص اهلاك شبكة السنترال والهواتف,مخصص اهلاك شبكة السنترال والهواتف,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010060,مخصص اهلاك  تركيبات وديكورات,مخصص اهلاك  تركيبات وديكورات,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010070,مخصص اهلاك اجهزة تعليمية,مخصص اهلاك اجهزة تعليمية,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010080,مخصص اهلاك  اثاث مخصص للتعليم,مخصص اهلاك  اثاث مخصص للتعليم,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010090,مخصص اهلاك  عدد والات تعليمية,مخصص اهلاك  عدد والات تعليمية,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010100,مخصص اهلاك  أجهزة كهربائية,مخصص اهلاك  أجهزة كهربائية,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010110,مخصص اهلاك اجهزة تكييف,مخصص اهلاك اجهزة تكييف,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010120,مخصص اهلاك ادوات ومعدات مكتبية,مخصص اهلاك ادوات ومعدات مكتبية,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010130,مخصص إهلاك أنظمة وبرامج,مخصص إهلاك أنظمة وبرامج,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010140,مخصص إهلاك المبانى,مخصص إهلاك المبانى,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030010150,مخصص اهلاك معدات نظافة,مخصص اهلاك معدات نظافة,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030020000,مخصص اهلاك الأصول الثابتة - سكن الموظفين,مخصص اهلاك الأصول الثابتة - سكن الموظفين,2,0,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,4,,,,,,
202030020010,مخصص اهلاك اجهزة كهربائية -سكن الموظفين,مخصص اهلاك اجهزة كهربائية -سكن الموظفين,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030020020,مخصص اهلاك اثاث ومفروشات -سكن الموظفين,مخصص اهلاك اثاث ومفروشات -سكن الموظفين,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030020030,مخصص اهلاك اجهزة تكييف -سكن الموظفين,مخصص اهلاك اجهزة تكييف -سكن الموظفين,2,1,1121,صافي الموجودات الثابتة,صافي الموجودات الثابتة,5,,,,,,
202030030000,مخصص ديون مشكوك فى تحصيلها,مخصص ديون مشكوك فى تحصيلها,2,0,1113,إيرادات مستحقة,إيرادات مستحقة,4,,,,,,
